#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
beetroot_soup                                     ([no block])                                                                     = Beetroot Soup
rabbit_stew                                       ([no block])                                                                     = Rabbit Stew
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
boron                                             (nuclearcraft:fluid_boron)                                                       = Molten Boron
boron10                                           (nuclearcraft:fluid_boron10)                                                     = Molten Boron-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = Molten Boron-11
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = Molten Lithium-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = Molten Lithium-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = Molten Ferroboron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = Molten Sulfur
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = Molten Arsenic
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = Liquid Helium
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Liquid Nitrogen
plasma                                            (nuclearcraft:fluid_plasma)                                                      = Plasma
neutron                                           (nuclearcraft:fluid_neutron)                                                     = Neutron Fluid
radaway                                           (nuclearcraft:fluid_radaway)                                                     = RadAway Fluid
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = Slow-Acting RadAway Fluid
ethene                                            (nuclearcraft:fluid_ethene)                                                      = Ethylene
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = Fluoromethane
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = Oxygen Difluoride
diborane                                          (nuclearcraft:fluid_diborane)                                                    = Diborane
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = Boric Acid
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = Boron Nitride Solution
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = Fluorite Water
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = Calcium Sulfate Solution
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = Sodium Fluoride Solution
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = Potassium Fluoride Solution
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = Sodium Hydroxide Solution
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = Potassium Hydroxide Solution
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = Borax Solution
corium                                            (nuclearcraft:fluid_corium)                                                      = Corium
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = Chocolate Liquor
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = Cocoa Butter
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = Molten Unsweetened Chocolate
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = Molten Dark Chocolate
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
sugar                                             (nuclearcraft:fluid_sugar)                                                       = Molten Sugar
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = Molten Gelatin
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Hydrated Gelatin
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = Liquid Marshmallow
lif                                               (nuclearcraft:fluid_lif)                                                         = Molten Lithium Fluoride
bef2                                              (nuclearcraft:fluid_bef2)                                                        = Molten Beryllium Fluoride
flibe                                             (nuclearcraft:fluid_flibe)                                                       = Molten FLiBe Salt Mixture
naoh                                              (nuclearcraft:fluid_naoh)                                                        = Molten Sodium Hydroxide
koh                                               (nuclearcraft:fluid_koh)                                                         = Molten Potassium Hydroxide
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = High Pressure Steam
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = Exhaust Steam
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = Low Pressure Steam
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = Low Quality Steam
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = Preheated Water
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = Condensate Water
nak                                               (nuclearcraft:fluid_nak)                                                         = Eutectic NaK Alloy
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = Hot Eutectic NaK Alloy
bas                                               (nuclearcraft:fluid_bas)                                                         = Molten Boron Arsenide
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Silicon Carbide Vapor
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = Molten Alugentum
alumina                                           (nuclearcraft:fluid_alumina)                                                     = Molten Alumina
thorium_fluoride                                  ([no block])                                                                     = Molten Thorium Fluoride
thorium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium Fluoride
uranium_fluoride                                  ([no block])                                                                     = Molten Uranium Fluoride
uranium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium Fluoride
plutonium_fluoride                                ([no block])                                                                     = Molten Plutonium Fluoride
plutonium_fluoride_flibe                          ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium Fluoride
thorium_230                                       ([no block])                                                                     = Molten Thorium-230
thorium_230_fluoride                              ([no block])                                                                     = Molten Thorium-230 Fluoride
thorium_230_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium-230 Fluoride
thorium_232                                       ([no block])                                                                     = Molten Thorium-232
thorium_232_fluoride                              ([no block])                                                                     = Molten Thorium-232 Fluoride
thorium_232_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium-232 Fluoride
uranium_233                                       ([no block])                                                                     = Molten Uranium-233
uranium_233_fluoride                              ([no block])                                                                     = Molten Uranium-233 Fluoride
uranium_233_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-233 Fluoride
uranium_235                                       ([no block])                                                                     = Molten Uranium-235
uranium_235_fluoride                              ([no block])                                                                     = Molten Uranium-235 Fluoride
uranium_235_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-235 Fluoride
uranium_238                                       ([no block])                                                                     = Molten Uranium-238
uranium_238_fluoride                              ([no block])                                                                     = Molten Uranium-238 Fluoride
uranium_238_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-238 Fluoride
neptunium_236                                     ([no block])                                                                     = Molten Neptunium-236
neptunium_236_fluoride                            ([no block])                                                                     = Molten Neptunium-236 Fluoride
neptunium_236_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-236 Fluoride
neptunium_237                                     ([no block])                                                                     = Molten Neptunium-237
neptunium_237_fluoride                            ([no block])                                                                     = Molten Neptunium-237 Fluoride
neptunium_237_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-237 
plutonium_238                                     ([no block])                                                                     = Molten Plutonium-238
plutonium_238_fluoride                            ([no block])                                                                     = Molten Plutonium-238 Fluoride
plutonium_238_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-238 Fluoride
plutonium_239                                     ([no block])                                                                     = Molten Plutonium-239
plutonium_239_fluoride                            ([no block])                                                                     = Molten Plutonium-239 Fluoride
plutonium_239_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-239 Fluoride
plutonium_241                                     ([no block])                                                                     = Molten Plutonium-241
plutonium_241_fluoride                            ([no block])                                                                     = Molten Plutonium-241 Fluoride
plutonium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-241 Fluoride
plutonium_242                                     ([no block])                                                                     = Molten Plutonium-242
plutonium_242_fluoride                            ([no block])                                                                     = Molten Plutonium-242 Fluoride
plutonium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-242 Fluoride
americium_241                                     ([no block])                                                                     = Molten Americium-241
americium_241_fluoride                            ([no block])                                                                     = Molten Americium-241 Fluoride
americium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-241 Fluoride
americium_242                                     ([no block])                                                                     = Molten Americium-242
americium_242_fluoride                            ([no block])                                                                     = Molten Americium-242 Fluoride
americium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-242 Fluoride
americium_243                                     ([no block])                                                                     = Molten Americium-243
americium_243_fluoride                            ([no block])                                                                     = Molten Americium-243 Fluoride
americium_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-243 Fluoride
curium_243                                        ([no block])                                                                     = Molten Curium-243
curium_243_fluoride                               ([no block])                                                                     = Molten Curium-243 Fluoride
curium_243_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-243 Fluoride
curium_245                                        ([no block])                                                                     = Molten Curium-245
curium_245_fluoride                               ([no block])                                                                     = Molten Curium-245 Fluoride
curium_245_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-245 Fluoride
curium_246                                        ([no block])                                                                     = Molten Curium-246
curium_246_fluoride                               ([no block])                                                                     = Molten Curium-246 Fluoride
curium_246_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-246 Fluoride
curium_247                                        ([no block])                                                                     = Molten Curium-247
curium_247_fluoride                               ([no block])                                                                     = Molten Curium-247 Fluoride
curium_247_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-247 Fluoride
berkelium_247                                     ([no block])                                                                     = Molten Berkelium-247
berkelium_247_fluoride                            ([no block])                                                                     = Molten Berkelium-247 Fluoride
berkelium_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-247 Fluoride
berkelium_248                                     ([no block])                                                                     = Molten Berkelium-248
berkelium_248_fluoride                            ([no block])                                                                     = Molten Berkelium-248 Fluoride
berkelium_248_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-248 Fluoride
californium_249                                   ([no block])                                                                     = Molten Californium-249
californium_249_fluoride                          ([no block])                                                                     = Molten Californium-249 Fluoride
californium_249_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-249 Fluoride
californium_250                                   ([no block])                                                                     = Molten Californium-250
californium_250_fluoride                          ([no block])                                                                     = Molten Californium-250 Fluoride
californium_250_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-250 Fluoride
californium_251                                   ([no block])                                                                     = Molten Californium-251
californium_251_fluoride                          ([no block])                                                                     = Molten Californium-251 Fluoride
californium_251_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-251 Fluoride
californium_252                                   ([no block])                                                                     = Molten Californium-252
californium_252_fluoride                          ([no block])                                                                     = Molten Californium-252 Fluoride
californium_252_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-252 Fluoride
fuel_tbu                                          ([no block])                                                                     = Molten TBU Fuel
fuel_tbu_fluoride                                 ([no block])                                                                     = Molten TBU Fluoride Fuel
fuel_tbu_fluoride_flibe                           ([no block])                                                                     = Molten FLiBe Salt Solution of TBU Fluoride Fuel
fuel_leu_233                                      ([no block])                                                                     = Molten LEU-233 Fuel
fuel_leu_233_fluoride                             ([no block])                                                                     = Molten LEU-233 Fluoride Fuel
fuel_leu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
fuel_heu_233                                      ([no block])                                                                     = Molten HEU-233 Fuel
fuel_heu_233_fluoride                             ([no block])                                                                     = Molten HEU-233 Fluoride Fuel
fuel_heu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
fuel_leu_235                                      ([no block])                                                                     = Molten LEU-235 Fuel
fuel_leu_235_fluoride                             ([no block])                                                                     = Molten LEU-235 Fluoride Fuel
fuel_leu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
fuel_heu_235                                      ([no block])                                                                     = Molten HEU-235 Fuel
fuel_heu_235_fluoride                             ([no block])                                                                     = Molten HEU-235 Fluoride Fuel
fuel_heu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
fuel_len_236                                      ([no block])                                                                     = Molten LEN-236 Fuel
fuel_len_236_fluoride                             ([no block])                                                                     = Molten LEN-236 Fluoride Fuel
fuel_len_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
fuel_hen_236                                      ([no block])                                                                     = Molten HEN-236 Fuel
fuel_hen_236_fluoride                             ([no block])                                                                     = Molten HEN-236 Fluoride Fuel
fuel_hen_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
fuel_lep_239                                      ([no block])                                                                     = Molten LEP-239 Fuel
fuel_lep_239_fluoride                             ([no block])                                                                     = Molten LEP-239 Fluoride Fuel
fuel_lep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
fuel_hep_239                                      ([no block])                                                                     = Molten HEP-239 Fuel
fuel_hep_239_fluoride                             ([no block])                                                                     = Molten HEP-239 Fluoride Fuel
fuel_hep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
fuel_lep_241                                      ([no block])                                                                     = Molten LEP-241 Fuel
fuel_lep_241_fluoride                             ([no block])                                                                     = Molten LEP-241 Fluoride Fuel
fuel_lep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
fuel_hep_241                                      ([no block])                                                                     = Molten HEP-241 Fuel
fuel_hep_241_fluoride                             ([no block])                                                                     = Molten HEP-241 Fluoride Fuel
fuel_hep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
fuel_lea_242                                      ([no block])                                                                     = Molten LEA-242 Fuel
fuel_lea_242_fluoride                             ([no block])                                                                     = Molten LEA-242 Fluoride Fuel
fuel_lea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
fuel_hea_242                                      ([no block])                                                                     = Molten HEA-242 Fuel
fuel_hea_242_fluoride                             ([no block])                                                                     = Molten HEA-242 Fluoride Fuel
fuel_hea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
fuel_lecm_243                                     ([no block])                                                                     = Molten LECm-243 Fuel
fuel_lecm_243_fluoride                            ([no block])                                                                     = Molten LECm-243 Fluoride Fuel
fuel_lecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
fuel_hecm_243                                     ([no block])                                                                     = Molten HECm-243 Fuel
fuel_hecm_243_fluoride                            ([no block])                                                                     = Molten HECm-243 Fluoride Fuel
fuel_hecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
fuel_lecm_245                                     ([no block])                                                                     = Molten LECm-245 Fuel
fuel_lecm_245_fluoride                            ([no block])                                                                     = Molten LECm-245 Fluoride Fuel
fuel_lecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
fuel_hecm_245                                     ([no block])                                                                     = Molten HECm-245 Fuel
fuel_hecm_245_fluoride                            ([no block])                                                                     = Molten HECm-245 Fluoride Fuel
fuel_hecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
fuel_lecm_247                                     ([no block])                                                                     = Molten LECm-247 Fuel
fuel_lecm_247_fluoride                            ([no block])                                                                     = Molten LECm-247 Fluoride Fuel
fuel_lecm_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
fuel_hecm_247                                     ([no block])                                                                     = Molten HECm-247 Fuel
fuel_hecm_247_fluoride                            ([no block])                                                                     = Molten HECm-247 Fluoride Fuel
fuel_hecm_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
fuel_leb_248                                      ([no block])                                                                     = Molten LEB-248 Fuel
fuel_leb_248_fluoride                             ([no block])                                                                     = Molten LEB-248 Fluoride Fuel
fuel_leb_248_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
fuel_heb_248                                      ([no block])                                                                     = Molten HEB-248 Fuel
fuel_heb_248_fluoride                             ([no block])                                                                     = Molten HEB-248 Fluoride Fuel
fuel_heb_248_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEB-248 Fluoride Fuel
fuel_lecf_249                                     ([no block])                                                                     = Molten LECf-249 Fuel
fuel_lecf_249_fluoride                            ([no block])                                                                     = Molten LECf-249 Fluoride Fuel
fuel_lecf_249_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECf-249 Fluoride Fuel
fuel_hecf_249                                     ([no block])                                                                     = Molten HECf-249 Fuel
fuel_hecf_249_fluoride                            ([no block])                                                                     = Molten HECf-249 Fluoride Fuel
fuel_hecf_249_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECf-249 Fluoride Fuel
fuel_lecf_251                                     ([no block])                                                                     = Molten LECf-251 Fuel
fuel_lecf_251_fluoride                            ([no block])                                                                     = Molten LECf-251 Fluoride Fuel
fuel_lecf_251_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECf-251 Fluoride Fuel
fuel_hecf_251                                     ([no block])                                                                     = Molten HECf-251 Fuel
fuel_hecf_251_fluoride                            ([no block])                                                                     = Molten HECf-251 Fluoride Fuel
fuel_hecf_251_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
depleted_fuel_tbu                                 ([no block])                                                                     = Molten Depleted TBU Fuel
depleted_fuel_tbu_fluoride                        ([no block])                                                                     = Molten Depleted TBU Fluoride Fuel
depleted_fuel_tbu_fluoride_flibe                  ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
depleted_fuel_leu_233                             ([no block])                                                                     = Molten Depleted LEU-233 Fuel
depleted_fuel_leu_233_fluoride                    ([no block])                                                                     = Molten Depleted LEU-233 Fluoride Fuel
depleted_fuel_leu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
depleted_fuel_heu_233                             ([no block])                                                                     = Molten Depleted HEU-233 Fuel
depleted_fuel_heu_233_fluoride                    ([no block])                                                                     = Molten Depleted HEU-233 Fluoride Fuel
depleted_fuel_heu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
depleted_fuel_leu_235                             ([no block])                                                                     = Molten Depleted LEU-235 Fuel
depleted_fuel_leu_235_fluoride                    ([no block])                                                                     = Molten Depleted LEU-235 Fluoride Fuel
depleted_fuel_leu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
depleted_fuel_heu_235                             ([no block])                                                                     = Molten Depleted HEU-235 Fuel
depleted_fuel_heu_235_fluoride                    ([no block])                                                                     = Molten Depleted HEU-235 Fluoride Fuel
depleted_fuel_heu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
depleted_fuel_len_236                             ([no block])                                                                     = Molten Depleted LEN-236 Fuel
depleted_fuel_len_236_fluoride                    ([no block])                                                                     = Molten Depleted LEN-236 Fluoride Fuel
depleted_fuel_len_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
depleted_fuel_hen_236                             ([no block])                                                                     = Molten Depleted HEN-236 Fuel
depleted_fuel_hen_236_fluoride                    ([no block])                                                                     = Molten Depleted HEN-236 Fluoride Fuel
depleted_fuel_hen_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
depleted_fuel_lep_239                             ([no block])                                                                     = Molten Depleted LEP-239 Fuel
depleted_fuel_lep_239_fluoride                    ([no block])                                                                     = Molten Depleted LEP-239 Fluoride Fuel
depleted_fuel_lep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
depleted_fuel_hep_239                             ([no block])                                                                     = Molten Depleted HEP-239 Fuel
depleted_fuel_hep_239_fluoride                    ([no block])                                                                     = Molten Depleted HEP-239 Fluoride Fuel
depleted_fuel_hep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
depleted_fuel_lep_241                             ([no block])                                                                     = Molten Depleted LEP-241 Fuel
depleted_fuel_lep_241_fluoride                    ([no block])                                                                     = Molten Depleted LEP-241 Fluoride Fuel
depleted_fuel_lep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
depleted_fuel_hep_241                             ([no block])                                                                     = Molten Depleted HEP-241 Fuel
depleted_fuel_hep_241_fluoride                    ([no block])                                                                     = Molten Depleted HEP-241 Fluoride Fuel
depleted_fuel_hep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
depleted_fuel_lea_242                             ([no block])                                                                     = Molten Depleted LEA-242 Fuel
depleted_fuel_lea_242_fluoride                    ([no block])                                                                     = Molten Depleted LEA-242 Fluoride Fuel
depleted_fuel_lea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
depleted_fuel_hea_242                             ([no block])                                                                     = Molten Depleted HEA-242 Fuel
depleted_fuel_hea_242_fluoride                    ([no block])                                                                     = Molten Depleted HEA-242 Fluoride Fuel
depleted_fuel_hea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
depleted_fuel_lecm_243                            ([no block])                                                                     = Molten Depleted LECm-243 Fuel
depleted_fuel_lecm_243_fluoride                   ([no block])                                                                     = Molten Depleted LECm-243 Fluoride Fuel
depleted_fuel_lecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
depleted_fuel_hecm_243                            ([no block])                                                                     = Molten Depleted HECm-243 Fuel
depleted_fuel_hecm_243_fluoride                   ([no block])                                                                     = Molten Depleted HECm-243 Fluoride Fuel
depleted_fuel_hecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
depleted_fuel_lecm_245                            ([no block])                                                                     = Molten Depleted LECm-245 Fuel
depleted_fuel_lecm_245_fluoride                   ([no block])                                                                     = Molten Depleted LECm-245 Fluoride Fuel
depleted_fuel_lecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
depleted_fuel_hecm_245                            ([no block])                                                                     = Molten Depleted HECm-245 Fuel
depleted_fuel_hecm_245_fluoride                   ([no block])                                                                     = Molten Depleted HECm-245 Fluoride Fuel
depleted_fuel_hecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
depleted_fuel_lecm_247                            ([no block])                                                                     = Molten Depleted LECm-247 Fuel
